DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
201812021,2020 Jun 02 12:00:00 AM,2020 Jun 02 12:00:00 AM,800,18,Southeast,1803,2,901,VIOLATION OF RESTRAINING ORDER,0913 2004 0555 2038 0432,25,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,901,,,,8700 S  SAN PEDRO                    ST,,33.9581,-118.2695
202016919,2020 Nov 09 12:00:00 AM,2020 Nov 08 12:00:00 AM,2200,20,Olympic,2053,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 0385 1251 1822,26,F,A,101,STREET,,,IC,Invest Cont,331,,,,CONNECTICUT,WESTERN,34.0517,-118.3091
201705802,2020 Feb 11 12:00:00 AM,2020 Feb 11 12:00:00 AM,1252,17,Devonshire,1764,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 0378 0344,0,X,X,409,BEAUTY SUPPLY STORE,,,IC,Invest Cont,442,,,,9300    TAMPA                        AV,,34.244,-118.5583
201417336,2020 Aug 18 12:00:00 AM,2020 Aug 17 12:00:00 AM,1900,14,Pacific,1406,1,440,THEFT PLAIN - PETTY ($950 & UNDER),344,68,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440,,,,3600    KEYSTONE                     AV,,34.0221,-118.4082
230204214,2023 Jan 05 12:00:00 AM,2020 Feb 01 12:00:00 AM,800,2,Rampart,201,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1251 1258 0913 0400 0500 0522 1817,7,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,860,,,900 N  MARIPOSA                     AV,,34.0868,-118.2991
202112500,2020 Aug 07 12:00:00 AM,2020 Jul 07 12:00:00 AM,1,21,Topanga,2147,2,354,THEFT OF IDENTITY,0561 1202 0930 0922 0929,65,M,O,501,SINGLE FAMILY DWELLING,,,AO,Adult Other,354,,,,21000    GAULT                        ST,,34.1992,-118.5906
202013190,2020 Aug 07 12:00:00 AM,2020 Aug 07 12:00:00 AM,2145,20,Olympic,2034,2,624,BATTERY - SIMPLE ASSAULT,1822 0443 0416 0446 0910 2048,20,M,H,921,MTA - PURPLE LINE - WILSHIRE/NORMANDIE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,3500    WILSHIRE                     BL,,34.0617,-118.3008
202013627,2020 Aug 19 12:00:00 AM,2020 Aug 08 12:00:00 AM,1500,20,Olympic,2001,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0913 1817 0344 0337 1300 0377,52,M,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,440,,,,600 N  WILTON                       PL,,34.0799,-118.3181
201605651,2020 Feb 09 12:00:00 AM,2020 Jan 30 12:00:00 AM,44,16,Foothill,1601,1,648,ARSON,,55,M,B,101,STREET,,,IC,Invest Cont,648,,,,12900    DESMOND                      ST,,34.2862,-118.4133
201516370,2020 Oct 16 12:00:00 AM,2020 Oct 16 12:00:00 AM,800,15,N Hollywood,1535,2,624,BATTERY - SIMPLE ASSAULT,0416 0356 0400,41,M,W,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,11600    BURBANK                      BL,,34.1758,-118.3834
201911591,2020 Jun 30 12:00:00 AM,2020 Jun 30 12:00:00 AM,1150,19,Mission,1974,2,624,BATTERY - SIMPLE ASSAULT,444,77,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,9000    TOBIAS                       AV,,34.2336,-118.4517
201506896,2020 Feb 28 12:00:00 AM,2020 Feb 27 12:00:00 AM,2030,15,N Hollywood,1543,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 1813 2000,52,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,12400    WEDDINGTON                   ST,,34.1667,-118.403
201813428,2020 Jul 03 12:00:00 AM,2020 Jul 03 12:00:00 AM,1525,18,Southeast,1821,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1822 0329,29,M,H,501,SINGLE FAMILY DWELLING,102,HAND GUN,IC,Invest Cont,745,,,,600 W  COLDEN                       AV,,33.9492,-118.2855
201506781,2020 Feb 25 12:00:00 AM,2020 Feb 24 12:00:00 AM,1640,15,N Hollywood,1595,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),325,0,M,W,409,BEAUTY SUPPLY STORE,,,AA,Adult Arrest,343,,,,12000    VENTURA                      BL,,34.1436,-118.3929
201812273,2020 Jun 08 12:00:00 AM,2020 Jun 08 12:00:00 AM,1150,18,Southeast,1801,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0342 0344 1300 1822 0329 1218,54,M,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,341,,,,9100    ORCHARD                      AV,,33.9542,-118.2881
201709463,2020 May 26 12:00:00 AM,2020 May 22 12:00:00 AM,1400,17,Devonshire,1771,1,310,BURGLARY,1275 1606 0344,41,M,O,213,WAREHOUSE,,,IC,Invest Cont,310,,,,20700    PRAIRIE                      ST,,34.2409,-118.5842
201312855,2020 Jun 25 12:00:00 AM,2020 Jun 25 12:00:00 AM,200,13,Newton,1333,1,320,"BURGLARY, ATTEMPTED",1402 0344,0,M,H,203,OTHER BUSINESS,,,AO,Adult Other,320,,,,700 E  JEFFERSON                    BL,,34.0174,-118.2621
201609877,2020 Jun 11 12:00:00 AM,2020 Jun 10 12:00:00 AM,100,16,Foothill,1638,1,330,BURGLARY FROM VEHICLE,0344 1307 1302 0321,38,F,O,108,PARKING LOT,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,330,,,,10400    KAILUA                       LN,,34.2575,-118.3002
201312131,2020 Jun 11 12:00:00 AM,2020 Jun 09 12:00:00 AM,800,13,Newton,1347,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1600 E  ADAMS                        BL,,34.0138,-118.245
210804004,2020 Dec 31 12:00:00 AM,2020 Dec 31 12:00:00 AM,1316,8,West LA,839,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0104 0209 0216 0325 0344 1309 0346 0342 2028 1420,0,X,X,727,SHOPPING MALL (COMMON AREA),,,IC,Invest Cont,341,,,,10200    SANTA MONICA                 BL,,34.06,-118.42
201805241,2020 Jan 22 12:00:00 AM,2020 Jan 22 12:00:00 AM,1600,18,Southeast,1822,2,903,CONTEMPT OF COURT,2038,48,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,903,,,,9400 S  FIGUEROA                     ST,,33.951,-118.2827
201811246,2020 May 17 12:00:00 AM,2020 May 17 12:00:00 AM,1000,18,Southeast,1804,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 1402 0432,36,M,H,102,SIDEWALK,201,KNIFE WITH BLADE OVER 6 INCHES IN LENGTH,AA,Adult Arrest,230,998,,,87TH,CENTRAL,33.9593,-118.2564
201607929,2020 Apr 09 12:00:00 AM,2020 Apr 03 12:00:00 AM,2200,16,Foothill,1681,1,330,BURGLARY FROM VEHICLE,0344 1300,29,M,H,101,STREET,,,IC,Invest Cont,330,,,,8800    REMICK                       AV,,34.2293,-118.4038
201615398,2020 Dec 05 12:00:00 AM,2020 Dec 05 12:00:00 AM,1910,16,Foothill,1612,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 2004,0,M,O,243,"DIY CENTER (LOWE'S,HOME DEPOT,OSH,CONTRACTORS WAREHOUSE)",,,IC,Invest Cont,442,,,,13500    PAXTON                       ST,,34.2734,-118.4265
201321313,2020 Dec 16 12:00:00 AM,2020 Dec 11 12:00:00 AM,800,13,Newton,1341,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,BROADWAY                     PL,37TH                         ST,34.0144,-118.2753
201810504,2020 May 02 12:00:00 AM,2020 May 02 12:00:00 AM,1330,18,Southeast,1844,1,761,BRANDISH WEAPON,0913 1814 2038 0334 0319 0359,24,F,H,501,SINGLE FAMILY DWELLING,107,OTHER FIREARM,AO,Adult Other,761,,,,600 E  109TH                        ST,,33.9373,-118.2646
201320662,2020 Dec 01 12:00:00 AM,2020 Nov 30 12:00:00 AM,2240,13,Newton,1352,1,210,ROBBERY,1822 0445 0400 0432 0344 0416,17,M,H,101,STREET,304,CLUB/BAT,IC,Invest Cont,210,,,,42ND                         ST,SAN PEDRO                    ST,34.0066,-118.2697
201515140,2020 Sep 13 12:00:00 AM,2020 Sep 13 12:00:00 AM,1610,15,N Hollywood,1538,1,210,ROBBERY,1822 1313 1302 0906 1402 0344 0416 0371,22,M,H,401,MINI-MART,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,210,998,,,11100    BURBANK                      BL,,34.1758,-118.3746
201504294,2020 Jan 06 12:00:00 AM,2020 Jan 06 12:00:00 AM,1435,15,N Hollywood,1599,2,624,BATTERY - SIMPLE ASSAULT,0400 0416,46,F,W,138,STAIRWELL*,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,3200 W  CAHUENGA                     BL,,34.1284,-118.3472
201420580,2020 Nov 20 12:00:00 AM,2020 Mar 23 12:00:00 AM,900,14,Pacific,1488,2,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",344,0,X,X,108,PARKING LOT,,,IC,Invest Cont,668,,,,9000    AIRPORT                      BL,,33.9546,-118.3858
202110284,2020 Jun 09 12:00:00 AM,2020 Jun 08 12:00:00 AM,2230,21,Topanga,2196,1,510,VEHICLE - STOLEN,,0,,,104,DRIVEWAY,,,IC,Invest Cont,510,,,,4400    ENSENADA                     DR,,34.1489,-118.5974
201507479,2020 Mar 11 12:00:00 AM,2020 Mar 09 12:00:00 AM,1200,15,N Hollywood,1548,2,946,OTHER MISCELLANEOUS CRIME,0344 1902,67,M,W,203,OTHER BUSINESS,,,IC,Invest Cont,946,,,,11300    CHANDLER                     BL,,34.1681,-118.3773
201412227,2020 Jun 12 12:00:00 AM,2020 Jun 12 12:00:00 AM,1100,14,Pacific,1437,1,440,THEFT PLAIN - PETTY ($950 & UNDER),344,24,F,O,501,SINGLE FAMILY DWELLING,,,AO,Adult Other,440,,,,3700 S  BENTLEY                      AV,,34.0157,-118.4173
201612890,2020 Sep 14 12:00:00 AM,2020 Sep 14 12:00:00 AM,2000,16,Foothill,1689,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),325,0,M,W,202,LIQUOR STORE,,,IC,Invest Cont,442,,,,8200    SAN FERNANDO                 RD,,34.2194,-118.3688
210708216,2021 Apr 29 12:00:00 AM,2020 May 01 12:00:00 AM,1330,7,Wilshire,785,1,121,"RAPE, FORCIBLE",0913 1817 0556 0527 2034 0537,19,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,,,,1900 S  HARCOURT                     AV,,34.0398,-118.3425
201408832,2020 Mar 24 12:00:00 AM,2020 Mar 24 12:00:00 AM,830,14,Pacific,1441,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",344,40,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,341,,,,2300    OCEAN                        AV,,33.9867,-118.4647
201912127,2020 Jul 14 12:00:00 AM,2020 Jun 04 12:00:00 AM,1000,19,Mission,1993,2,845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,1501,0,X,X,101,STREET,,,AA,Adult Arrest,845,,,,ROSCOE                       BL,SEPULVEDA,34.2214,-118.4677
201318896,2020 Oct 22 12:00:00 AM,2020 Oct 13 12:00:00 AM,1800,13,Newton,1361,2,354,THEFT OF IDENTITY,100,30,F,H,750,CYBERSPACE,,,IC,Invest Cont,354,,,,300 W  47TH                         PL,,34.0001,-118.2789
201415669,2020 Aug 15 12:00:00 AM,2020 Aug 07 12:00:00 AM,1345,14,Pacific,1488,1,330,BURGLARY FROM VEHICLE,1300 0344 1606,38,M,W,503,HOTEL,,,IC,Invest Cont,330,,,,W  98TH                         ST,AIRPORT                      BL,33.9474,-118.386
201805457,2020 Jan 27 12:00:00 AM,2020 Jan 27 12:00:00 AM,200,18,Southeast,1841,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1820 0913 0329,44,M,B,501,SINGLE FAMILY DWELLING,306,ROCK/THROWN OBJECT,IC,Invest Cont,745,,,,10400 S  FIGUEROA                     ST,,33.9367,-118.2871
201419732,2020 Nov 04 12:00:00 AM,2020 Nov 03 12:00:00 AM,2130,14,Pacific,1406,1,310,BURGLARY,0344 1607,0,X,X,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,310,,,,10400    VENICE                       BL,,34.0201,-118.4044
201818021,2020 Sep 30 12:00:00 AM,2020 Sep 30 12:00:00 AM,400,18,Southeast,1849,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0913 2000 1814 0416,48,F,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,11500    WILLOWBROOK                  AV,,33.9303,-118.2385
201912537,2020 Jul 26 12:00:00 AM,2020 Jul 26 12:00:00 AM,1100,19,Mission,1985,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 0408 0913 1814 0416,27,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,236,,,,14200    COMMUNITY                    ST,,34.2226,-118.4438
201410528,2020 May 06 12:00:00 AM,2020 May 06 12:00:00 AM,740,14,Pacific,1494,2,888,TRESPASSING,1501 2004,0,X,X,212,TRANSPORTATION FACILITY (AIRPORT),,,IC,Invest Cont,888,,,,300    WORLD                        WY,,0,0
201906494,2020 Feb 21 12:00:00 AM,2020 Feb 19 12:00:00 AM,1850,19,Mission,1994,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,14600    ROSCOE                       BL,,34.2215,-118.4507
202111699,2020 Jul 17 12:00:00 AM,2020 Jul 08 12:00:00 AM,1500,21,Topanga,2196,2,354,THEFT OF IDENTITY,0935 1822 1202 0930,62,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,21000    RIOS                         ST,,34.1509,-118.5911
202008777,2020 Apr 20 12:00:00 AM,2020 Apr 19 12:00:00 AM,2115,20,Olympic,2014,1,310,BURGLARY,1822 1607 0344 0358,0,X,X,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,Adult Other,310,,,,200 S  HARVARD                      BL,,34.0712,-118.3041
201512987,2020 Jul 23 12:00:00 AM,2020 Jul 22 12:00:00 AM,2100,15,N Hollywood,1504,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,7400    LAUREL CANYON                BL,,34.2048,-118.3965
202015510,2020 Oct 05 12:00:00 AM,2020 Sep 29 12:00:00 AM,2200,20,Olympic,2046,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0394 1822 0344,31,M,K,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440,,,,900 S  NEW HAMPSHIRE                AV,,34.0545,-118.2929
201312631,2020 Jun 21 12:00:00 AM,2020 Jun 21 12:00:00 AM,1500,13,Newton,1343,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0416 0447 1821,40,F,H,101,STREET,302,BLUNT INSTRUMENT,IC,Invest Cont,626,,,,AVALON                       BL,KING                         BL,34.0114,-118.2624
201511803,2020 Jun 25 12:00:00 AM,2020 Jun 24 12:00:00 AM,700,15,N Hollywood,1547,1,440,THEFT PLAIN - PETTY ($950 & UNDER),344,26,F,H,710,OTHER PREMISE,,,IC,Invest Cont,440,,,,11400    CHANDLER                     BL,,34.1681,-118.379
201707774,2020 Mar 28 12:00:00 AM,2020 Mar 28 12:00:00 AM,1715,17,Devonshire,1701,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 0358,59,M,O,108,PARKING LOT,,,IC,Invest Cont,331,,,,19800    RINALDI                      ST,,34.2751,-118.5652
201814732,2020 Jul 29 12:00:00 AM,2020 Jul 27 12:00:00 AM,2200,18,Southeast,1838,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,107TH                        ST,GRAPE                        ST,33.9389,-118.237
201500923,2020 Aug 13 12:00:00 AM,2020 Aug 12 12:00:00 AM,1335,15,N Hollywood,1553,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 1309 1402,0,M,O,402,MARKET,,,IC,Invest Cont,442,998,,,4700    LAUREL CANYON                BL,,34.1558,-118.3965
201515088,2020 Sep 12 12:00:00 AM,2020 Sep 11 12:00:00 AM,1040,15,N Hollywood,1511,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1300 0344 1309,34,M,H,108,PARKING LOT,,,IC,Invest Cont,420,,,,7300 N  VARNA                        AV,,34.2034,-118.4247
201606012,2020 Feb 18 12:00:00 AM,2020 Feb 10 12:00:00 AM,405,16,Foothill,1653,1,330,BURGLARY FROM VEHICLE,1307 0344 1609,43,M,H,101,STREET,,,IC,Invest Cont,330,,,,12900    SUNBURST                     ST,,34.2524,-118.4137
201900586,2020 Feb 05 12:00:00 AM,2020 Feb 05 12:00:00 AM,20,19,Mission,1983,2,888,TRESPASSING,,27,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,Adult Other,888,,,,8500    COLUMBUS                     AV,,34.2247,-118.4655
201707727,2020 Mar 26 12:00:00 AM,2020 Mar 19 12:00:00 AM,700,17,Devonshire,1761,2,354,THEFT OF IDENTITY,1822 0930 1402 2004,50,M,W,101,STREET,,,AA,Adult Arrest,354,998,,,9800    TOPANGA CANYON               BL,,34.2476,-118.6064
201513935,2020 Aug 13 12:00:00 AM,2020 Aug 13 12:00:00 AM,630,15,N Hollywood,1591,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1218 1402,0,M,O,104,DRIVEWAY,,,AA,Adult Arrest,740,998,,,11900    LOCKRIDGE                    AV,,34.1279,-118.3935
201907305,2020 Mar 07 12:00:00 AM,2020 Feb 28 12:00:00 AM,1200,19,Mission,1962,2,354,THEFT OF IDENTITY,1822 0928,61,M,A,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,9400    LEMONA                       AV,,34.241,-118.4588
201904881,2020 Jan 21 12:00:00 AM,2020 Jan 20 12:00:00 AM,2330,19,Mission,1958,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,14200    VAN NUYS                     BL,,34.251,-118.4428
202005753,2020 Feb 06 12:00:00 AM,2020 Feb 06 12:00:00 AM,2130,20,Olympic,2019,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0369 0416 0444 0913 1243 2000,27,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,200 S  JUANITA                      AV,,34.0704,-118.2898
201509491,2020 May 02 12:00:00 AM,2020 May 02 12:00:00 AM,425,15,N Hollywood,1562,2,888,TRESPASSING,1501,40,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,888,,,,4600    COLDWATER CANYON             AV,,34.154,-118.4138
201613399,2020 Sep 30 12:00:00 AM,2020 Sep 30 12:00:00 AM,1830,16,Foothill,1684,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0913 2000 1601 0416 0446 1813,50,M,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,11900    BLYTHE                       ST,,34.2148,-118.3944
201314912,2020 Aug 03 12:00:00 AM,2020 Aug 02 12:00:00 AM,2200,13,Newton,1361,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,48TH                         ST,MAIN                         ST,33.9992,-118.274
201409400,2020 Apr 08 12:00:00 AM,2020 Mar 30 12:00:00 AM,1430,14,Pacific,1414,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1606 0344 1300,34,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,331,,,,800    INDIANA                      AV,,33.9984,-118.4652
202108275,2020 Apr 14 12:00:00 AM,2020 Apr 14 12:00:00 AM,2330,21,Topanga,2189,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1275 1609 1307,35,M,X,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,745,,,,20500    VENTURA                      BL,,34.1683,-118.5787
201511356,2020 Jun 16 12:00:00 AM,2020 Jun 16 12:00:00 AM,2100,15,N Hollywood,1566,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 1218 2004 0421 0913 1817 1414,30,M,H,102,SIDEWALK,311,HAMMER,AO,Adult Other,230,,,,LANKERSHIM                   BL,RIVERSIDE                    DR,34.1523,-118.367
201811450,2020 May 21 12:00:00 AM,2020 May 21 12:00:00 AM,1245,18,Southeast,1802,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1300 0329 1822,48,F,H,122,"VEHICLE, PASSENGER/TRUCK",306,ROCK/THROWN OBJECT,AA,Adult Arrest,740,,,,9200 S  MAIN                         ST,,33.9525,-118.2739
201916416,2020 Oct 31 12:00:00 AM,2020 Oct 31 12:00:00 AM,1540,19,Mission,1985,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,26,F,H,122,"VEHICLE, PASSENGER/TRUCK",,,AO,Adult Other,740,,,,8400    VAN NUYS                     BL,,34.2229,-118.4487
210705082,2020 Dec 15 12:00:00 AM,2020 Dec 13 12:00:00 AM,2300,7,Wilshire,758,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 0385,29,M,K,101,STREET,,,IC,Invest Cont,331,,,,1000    QUEEN ANNE                   PL,,0,0
201810544,2020 May 03 12:00:00 AM,2020 May 03 12:00:00 AM,1300,18,Southeast,1827,2,901,VIOLATION OF RESTRAINING ORDER,2038 0913 2000,27,F,H,101,STREET,,,AO,Adult Other,901,,,,9600    WILMINGTON                   AV,,33.9494,-118.2386
202014344,2020 Sep 07 12:00:00 AM,2020 Aug 04 12:00:00 AM,2200,20,Olympic,2026,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1822 0344 0377 0321,34,M,O,101,STREET,,,IC,Invest Cont,420,,,,400 S  NEW HAMPSHIRE                AV,,34.0654,-118.2929
210118909,2021 Oct 19 12:00:00 AM,2020 Jun 02 12:00:00 AM,1605,1,Central,134,1,480,BIKE - STOLEN,0344 2032 1822,35,M,W,101,STREET,,,IC,Invest Cont,480,,,,3RD                          ST,BROADWAY,34.051,-118.248
201420530,2020 Nov 18 12:00:00 AM,2020 Sep 30 12:00:00 AM,2136,14,Pacific,1495,2,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",,0,,,203,OTHER BUSINESS,,,IC,Invest Cont,668,,,,9200    AIRPORT                      BL,,33.9523,-118.3906
202110525,2020 Jun 15 12:00:00 AM,2020 Jun 08 12:00:00 AM,1000,21,Topanga,2129,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 1822 0385,71,F,H,104,DRIVEWAY,,,IC,Invest Cont,331,,,,19900    CANTARA                      ST,,34.2189,-118.5667
201812414,2020 May 28 12:00:00 AM,2020 May 26 12:00:00 AM,100,18,Southeast,1806,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1813 0913 0416 1310 2002,37,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,9100    AVALON                       BL,,33.9538,-118.2651
201606565,2020 Mar 03 12:00:00 AM,2020 Mar 02 12:00:00 AM,2130,16,Foothill,1617,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 0417 0216,46,M,H,122,"VEHICLE, PASSENGER/TRUCK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,740,,,,8400    FENWICK                      ST,,34.2615,-118.3157
202107964,2020 Apr 03 12:00:00 AM,2020 Mar 16 12:00:00 AM,425,21,Topanga,2187,2,354,THEFT OF IDENTITY,1822 0930,51,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,21800    MARTINEZ                     ST,,34.1625,-118.6037
201818724,2020 Oct 12 12:00:00 AM,2020 Oct 12 12:00:00 AM,2215,18,Southeast,1802,2,624,BATTERY - SIMPLE ASSAULT,0400 1810 0913 0444,42,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,8700 S  FIGUEROA                     ST,,33.9585,-118.2827
201405494,2020 Jan 26 12:00:00 AM,2020 Jan 25 12:00:00 AM,1400,14,Pacific,1466,1,310,BURGLARY,344,40,M,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,7200    MCCOOL                       AV,,33.9784,-118.4004
211504106,2021 Jan 04 12:00:00 AM,2020 Dec 31 12:00:00 AM,1300,15,N Hollywood,1503,1,330,BURGLARY FROM VEHICLE,1302 1607 0344,0,M,W,302,FACTORY,,,IC,Invest Cont,330,,,,12200    SHERMAN                      WY,,34.201,-118.399
210104305,2021 Jan 08 12:00:00 AM,2020 Oct 28 12:00:00 AM,1203,1,Central,182,2,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",1501,0,M,W,203,OTHER BUSINESS,,,IC,Invest Cont,668,,,,1200 S  FIGUEROA                     ST,,34.0416,-118.2671
201904136,2020 Jan 02 12:00:00 AM,2020 Jan 02 12:00:00 AM,300,19,Mission,1962,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,56,M,W,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,9600    SEPULVEDA                    BL,,34.2446,-118.4675
201609908,2020 Jun 12 12:00:00 AM,2020 Jun 12 12:00:00 AM,20,16,Foothill,1663,2,753,DISCHARGE FIREARMS/SHOTS FIRED,1100 1822 1407 1402,0,M,O,101,STREET,106,UNKNOWN FIREARM,IC,Invest Cont,753,998,,,9100    TELFAIR                      AV,,34.2348,-118.395
